,Age,Job,Marital Status,Education,Credit,Balance (euros),Housing Loan,Personal Loan,Contact,Last Contact Day,Last Contact Month,Last Contact Duration,Campaign,Pdays,Previous,Poutcome,Subscription
0,58.0,management,married,,no,2143.0,yes,no,unknown,5,may,261.0,1,-1.0,0,unknown,1
1,44.0,technician,single,secondary,no,29.0,,no,unknown,5,may,,1,-1.0,0,unknown,1
2,,entrepreneur,married,secondary,no,2.0,yes,yes,unknown,5,may,76.0,1,-1.0,0,unknown,1
3,47.0,blue-collar,married,unknown,no,,yes,,unknown,5,may,,1,-1.0,0,unknown,1
4,,unknown,single,unknown,,1.0,no,no,unknown,5,may,,1,-1.0,0,unknown,1
5,35.0,,married,tertiary,no,231.0,yes,no,unknown,5,may,139.0,1,-1.0,0,unknown,1
6,28.0,management,single,tertiary,no,447.0,yes,yes,unknown,5,may,217.0,1,,0,unknown,1
7,42.0,entrepreneur,divorced,tertiary,,2.0,,no,unknown,5,may,,1,-1.0,0,unknown,1
8,58.0,retired,married,primary,no,121.0,yes,no,unknown,5,may,50.0,1,,0,unknown,1
9,43.0,technician,single,secondary,no,593.0,yes,no,unknown,5,may,,1,-1.0,0,unknown,1
10,41.0,admin.,,secondary,no,270.0,yes,,unknown,5,may,222.0,1,-1.0,0,unknown,1
11,29.0,admin.,single,secondary,no,390.0,yes,no,unknown,5,may,137.0,1,-1.0,0,unknown,1
12,53.0,technician,,,no,6.0,yes,,unknown,5,may,517.0,1,-1.0,0,unknown,1
13,58.0,technician,married,unknown,no,71.0,yes,no,unknown,5,may,71.0,1,,0,unknown,1
14,57.0,services,married,secondary,no,162.0,yes,no,unknown,5,may,174.0,1,,0,unknown,1
15,51.0,retired,married,primary,no,229.0,yes,no,unknown,5,may,353.0,1,-1.0,0,unknown,1
16,45.0,admin.,single,,no,13.0,,no,unknown,5,may,98.0,1,-1.0,0,unknown,1
17,57.0,blue-collar,married,primary,no,52.0,yes,no,unknown,5,may,,1,,0,unknown,1
18,60.0,retired,,primary,no,60.0,,no,unknown,5,may,219.0,1,-1.0,0,unknown,1
19,33.0,services,married,secondary,no,0.0,yes,no,unknown,5,may,54.0,1,-1.0,0,unknown,1
20,28.0,blue-collar,,,no,723.0,,yes,unknown,5,may,262.0,1,-1.0,0,unknown,1
21,56.0,management,married,tertiary,no,779.0,yes,no,unknown,5,may,164.0,1,-1.0,0,unknown,1
22,32.0,blue-collar,single,primary,no,23.0,yes,yes,unknown,5,may,,1,-1.0,0,unknown,1
23,25.0,services,married,secondary,,50.0,yes,no,unknown,5,may,342.0,1,-1.0,0,unknown,1
24,40.0,retired,married,primary,no,0.0,yes,yes,unknown,5,may,181.0,1,-1.0,0,unknown,1
25,44.0,admin.,married,secondary,no,-372.0,yes,no,unknown,5,may,172.0,1,-1.0,0,unknown,1
26,39.0,management,,tertiary,no,255.0,yes,no,unknown,5,may,296.0,1,,0,unknown,1
27,52.0,entrepreneur,married,secondary,no,113.0,yes,,unknown,5,may,,1,-1.0,0,unknown,1
28,46.0,,single,secondary,no,-246.0,,,unknown,5,may,255.0,2,-1.0,0,unknown,1
29,36.0,technician,single,secondary,no,,yes,yes,unknown,5,may,,1,-1.0,0,unknown,1
30,,technician,married,secondary,no,839.0,no,yes,unknown,5,may,225.0,1,-1.0,0,unknown,1
31,49.0,management,married,,no,378.0,yes,no,unknown,5,may,230.0,1,-1.0,0,unknown,1
32,60.0,admin.,married,secondary,no,39.0,yes,yes,unknown,5,may,208.0,1,-1.0,0,unknown,1
33,59.0,,,secondary,no,0.0,yes,no,unknown,5,may,226.0,1,-1.0,0,unknown,1
34,51.0,management,married,tertiary,no,10635.0,,no,unknown,5,may,336.0,1,-1.0,0,unknown,1
35,,technician,divorced,secondary,no,63.0,yes,no,unknown,5,may,242.0,1,-1.0,0,unknown,1
36,25.0,blue-collar,married,secondary,no,-7.0,,no,unknown,5,may,365.0,1,-1.0,0,unknown,1
37,53.0,technician,married,secondary,no,-3.0,no,no,unknown,5,may,1666.0,1,-1.0,0,unknown,1
38,,admin.,divorced,secondary,,506.0,yes,no,unknown,5,may,577.0,1,-1.0,0,unknown,1
39,37.0,admin.,single,secondary,no,0.0,yes,no,unknown,5,may,137.0,1,-1.0,0,unknown,1
40,44.0,services,,secondary,no,2586.0,,,unknown,5,may,160.0,1,-1.0,0,unknown,1
41,50.0,management,married,secondary,no,49.0,yes,no,unknown,5,may,180.0,2,-1.0,0,unknown,1
